,2k,4k,6k,500k,1k,3k,8k
0,-5,-5,-5,0.0,-0.0,-0.0,0.0
1,-5,-5,0,0.0,-0.0,-0.0,5.0
2,-5,-5,5,0.0,-0.0,-0.0,5.0
3,-5,-5,10,0.0,-0.0,-0.0,5.0
4,-5,-5,15,0.0,-0.0,0.0,10.0
5,-5,-5,20,5.0,0.0,5.0,10.0
6,-5,-5,25,5.0,5.0,5.0,10.0
7,-5,-5,30,5.0,0.0,5.0,15.0
8,-5,-5,35,5.0,5.0,5.0,15.0
9,-5,-5,40,5.0,0.0,5.0,20.0
10,-5,-5,45,5.0,0.0,5.0,20.0
11,-5,-5,50,5.0,0.0,5.0,25.0
12,-5,-5,55,5.0,5.0,5.0,30.0
13,-5,-5,60,5.0,5.0,5.0,35.0
14,-5,-5,65,5.0,5.0,5.0,40.0
15,-5,-5,70,5.0,5.0,5.0,50.0
16,-5,-5,75,5.0,5.0,5.0,55.0
17,-5,-5,80,5.0,5.0,5.0,60.0
18,-5,-5,85,5.0,5.0,5.0,65.0
19,-5,-5,90,10.0,5.0,5.0,65.0
20,-5,-5,95,10.0,5.0,5.0,70.0
21,-5,-5,100,10.0,5.0,5.0,70.0
22,-5,0,-5,0.0,-0.0,-0.0,0.0
23,-5,0,0,5.0,0.0,0.0,5.0
24,-5,0,5,5.0,0.0,0.0,5.0
25,-5,0,10,5.0,0.0,0.0,5.0
26,-5,0,15,5.0,0.0,0.0,10.0
27,-5,0,20,5.0,0.0,5.0,10.0
28,-5,0,25,5.0,5.0,5.0,10.0
29,-5,0,30,5.0,0.0,5.0,15.0
30,-5,0,35,5.0,5.0,5.0,15.0
31,-5,0,40,5.0,0.0,5.0,20.0
32,-5,0,45,5.0,0.0,5.0,20.0
33,-5,0,50,5.0,5.0,5.0,25.0
34,-5,0,55,5.0,5.0,5.0,30.0
35,-5,0,60,5.0,5.0,5.0,35.0
36,-5,0,65,5.0,5.0,5.0,45.0
37,-5,0,70,5.0,5.0,5.0,50.0
38,-5,0,75,5.0,5.0,5.0,55.0
39,-5,0,80,5.0,5.0,5.0,60.0
40,-5,0,85,5.0,5.0,5.0,65.0
41,-5,0,90,10.0,5.0,5.0,70.0
42,-5,0,95,10.0,5.0,5.0,70.0
43,-5,0,100,10.0,5.0,10.0,70.0
44,-5,5,-5,0.0,0.0,0.0,5.0
45,-5,5,0,5.0,5.0,5.0,5.0
46,-5,5,5,5.0,5.0,5.0,5.0
47,-5,5,10,5.0,5.0,5.0,10.0
48,-5,5,15,5.0,5.0,5.0,10.0
49,-5,5,20,5.0,5.0,5.0,10.0
50,-5,5,25,5.0,5.0,5.0,15.0
51,-5,5,30,5.0,5.0,5.0,15.0
52,-5,5,35,5.0,5.0,5.0,20.0
53,-5,5,40,5.0,5.0,5.0,20.0
54,-5,5,45,5.0,5.0,5.0,25.0
55,-5,5,50,5.0,5.0,5.0,30.0
56,-5,5,55,5.0,5.0,5.0,35.0
57,-5,5,60,5.0,5.0,5.0,40.0
58,-5,5,65,5.0,5.0,5.0,45.0
59,-5,5,70,5.0,5.0,5.0,50.0
60,-5,5,75,5.0,5.0,5.0,60.0
61,-5,5,80,5.0,5.0,5.0,65.0
62,-5,5,85,5.0,5.0,5.0,65.0
63,-5,5,90,5.0,5.0,5.0,70.0
64,-5,5,95,10.0,5.0,5.0,70.0
65,-5,5,100,10.0,5.0,5.0,70.0
66,-5,10,-5,5.0,5.0,5.0,5.0
67,-5,10,0,5.0,5.0,5.0,5.0
68,-5,10,5,5.0,5.0,5.0,5.0
69,-5,10,10,5.0,5.0,5.0,10.0
70,-5,10,15,5.0,5.0,5.0,10.0
71,-5,10,20,5.0,5.0,5.0,15.0
72,-5,10,25,5.0,5.0,5.0,15.0
73,-5,10,30,5.0,5.0,5.0,20.0
74,-5,10,35,5.0,5.0,5.0,20.0
75,-5,10,40,5.0,5.0,5.0,25.0
76,-5,10,45,5.0,5.0,5.0,25.0
77,-5,10,50,5.0,5.0,5.0,35.0
78,-5,10,55,5.0,5.0,5.0,40.0
79,-5,10,60,5.0,5.0,5.0,40.0
80,-5,10,65,5.0,5.0,5.0,45.0
81,-5,10,70,5.0,5.0,5.0,50.0
82,-5,10,75,5.0,5.0,5.0,60.0
83,-5,10,80,5.0,5.0,5.0,65.0
84,-5,10,85,5.0,5.0,5.0,65.0
85,-5,10,90,10.0,5.0,10.0,70.0
86,-5,10,95,10.0,5.0,5.0,70.0
87,-5,10,100,10.0,5.0,10.0,70.0
